,x,y,z
15699,0.04,0.04,1.0
17892,0.04,0.03,1.0
1208,0.13,0.07,1.02
135,0.04,0.03,1.0
3654,0.04,0.03,1.0
5515,0.09,-0.03,1.02
14175,0.05,0.04,1.0
12501,0.04,0.05,1.0
15207,0.04,0.05,1.0
3933,0.05,-0.38,0.93
5895,0.04,0.03,1.0
6282,0.04,0.03,1.0
83,0.04,0.02,1.0
16752,0.16,0.0,0.96
927,0.04,0.03,1.0
10098,0.04,0.05,1.0
16235,0.04,0.05,1.01
14158,0.09,-0.04,0.81
11237,0.25,0.01,0.88
2092,0.04,0.05,1.0
10952,0.0,0.04,1.02
1400,0.04,0.05,1.0
15764,0.04,0.04,1.0
7235,0.0,0.04,1.0
1987,0.04,0.05,1.0
4294,0.04,0.04,1.0
13308,0.05,0.05,1.0
8699,-0.09,0.27,0.96
3190,0.08,-0.13,0.89
2541,0.04,0.08,1.02
7746,0.04,0.03,1.0
14879,0.06,-0.11,0.96
12070,0.04,0.03,1.0
8829,0.04,0.02,1.0
14748,0.04,0.02,1.0
15134,0.05,0.09,1.05
11347,0.04,0.03,1.0
2833,0.04,0.02,1.0
10676,-0.02,0.01,1.04
17894,0.04,0.02,1.0
18806,0.04,0.05,1.0
5131,0.14,0.16,1.02
5259,0.05,0.09,1.04
11352,0.04,0.02,1.0
16718,0.04,0.03,1.0
6780,0.05,0.02,1.0
6966,0.02,0.02,1.05
10673,-0.24,0.09,0.87
8660,0.04,0.03,1.0
16984,0.04,0.02,1.0
5602,0.04,0.03,1.0
10775,0.04,0.04,1.01
15469,0.04,0.05,1.01
7024,0.04,0.05,1.0
12882,0.05,0.05,1.0
17145,0.02,0.48,0.98
8688,-0.19,-0.01,0.89
7096,0.03,0.05,1.0
19248,0.04,0.04,1.0
13199,0.04,0.05,1.0
16980,0.04,0.03,1.0
11618,0.04,0.03,1.0
19568,0.03,0.05,1.01
18633,0.04,0.05,1.0
10783,0.03,0.05,1.01
19375,0.04,0.15000000000000002,1.18
19369,0.23,0.3,0.91
8402,0.04,0.03,1.0
9266,0.04,0.03,1.0
10527,0.04,0.05,1.0
1701,0.04,0.05,1.0
12718,0.04,0.05,1.0
14939,0.07,-0.11,1.16
16785,0.04,0.03,1.0
15653,0.04,0.05,1.0
9165,0.04,0.02,1.0
8968,0.04,0.03,1.0
11790,0.04,0.02,1.0
13746,0.04,0.04,1.01
12199,0.04,0.02,1.0
17706,0.04,0.03,1.0
4222,0.04,0.05,1.0
7060,0.1,0.65,0.84
3272,0.11,-0.26,0.98
6153,0.04,0.03,1.0
6093,0.04,0.03,1.0
15791,0.0,0.25,0.95
8249,0.04,0.03,1.12
5392,0.04,0.04,1.01
2613,0.04,0.05,1.01
18353,0.04,0.04,1.0
15633,0.16,0.0,1.08
11504,0.04,0.03,1.0
11134,0.04,0.04,1.01
5021,0.04,0.05,1.01
19002,-0.03,-0.09,1.01
2231,0.04,0.04,1.01
14009,0.04,0.03,1.0
16800,0.04,0.03,1.0
6482,0.01,0.2,1.0
877,0.04,0.03,1.0
19220,0.14,0.17,0.98
13882,0.04,0.03,1.0
14903,0.04,0.02,1.0
19521,0.04,0.04,1.01
16716,0.04,0.03,1.0
14707,0.04,0.02,1.0
4586,0.04,0.05,1.0
10137,0.04,0.05,1.01
17163,0.04,0.03,1.0
2327,0.04,0.04,1.01
273,0.04,0.03,1.0
13320,0.04,0.05,1.0
3091,-0.02,0.02,1.01
14546,0.04,0.03,1.0
19148,0.04,0.04,1.0
18866,0.13,0.14,0.96
16958,0.05,-0.01,1.08
12881,0.09,0.14,1.18
12498,0.04,0.04,1.0
1049,0.04,0.03,1.0
17077,0.0,0.42,0.84
9076,-0.0,0.15,1.0
